Date,Tweet,Close.
2013-02-12,"President Obama: ""America will complete its mission in Afghanistan and achieve our objective of defeating the core of al Qaeda.""","1,519.43"
2013-02-12,"Obama: ""Letâ€™s declare that in the wealthiest nation on Earth no one who works full-time should have to live in poverty."" #JobsNow","1,519.43"
2013-02-12,"Obama: ""Send me a comprehensive immigration reform bill in the next few months and I will sign it right away.""pic.twitter.com/zUMDr1TG","1,519.43"
2013-02-12,"President Obama: ""Real reform means establishing a responsible pathway to earned citizenship."" #ImmigrationReform","1,519.43"
2013-02-12,Real reform means strong border security and we can build on the progress my Administration has already made. #ImmigrationReform,"1,519.43"
2013-02-12,"President Obama: ""The time has come to pass comprehensive #ImmigrationReform.""","1,519.43"
2013-02-12,"Obama: ""To grow our middle class our citizens must have access to the education and training that todayâ€™s jobs require."" #JobsNow","1,519.43"
2013-02-12,Tonight I propose working with states to make high-quality preschool available to every child in America. #SOTU,"1,519.43"
2013-02-12,"President Obama: ""Letâ€™s prove that there is no better place to do business than the United States of America."" #JobsNow","1,519.43"
2013-02-12,"Obama: ""Tonight I propose a â€œFix-It-Firstâ€ program to put people to work as soon as possible on our most urgent repairs."" #JobsNow","1,519.43"
2013-02-12,FACT: President Obama is doubling fuel efficiency standards which will save consumers more than $8000 at the pump. #MadeInAmerica,"1,519.43"
2013-02-12,FACT: Under President Obama we have more than doubled production of renewable energy from wind and solar. #MadeInAmerica,"1,519.43"
2013-02-12,"President Obama: ""After shedding jobs for more than 10 years our manufacturers have added about 500000 jobs over the past three."" #JobsNow","1,519.43"
2013-02-12,"President Obama: ""Our first priority is making America a magnet for new jobs and manufacturing."" #JobsNow","1,519.43"
2013-02-12,Itâ€™s not a bigger government we need but a smarter government that sets priorities and invests in broad-based growth. #JobsNow,"1,519.43"
2013-02-12,"President Obama: ""Nothing Iâ€™m proposing tonight should increase our deficit by a single dime."" #JobsNow","1,519.43"
2013-02-12,"Obama: ""The American people deserve a tax code that helps small businesses spend less time filling out complicated forms."" #JobsNow","1,519.43"
2013-02-12,Obama: â€œAmerica moves forward only when we do so together and that the responsibility of improving this union remains the task of us all.â€,"1,519.43"
2013-02-12,â€œIf you work hard and meet your responsibilities; you can get ahead no matter where you come from what you look like or who you love.â€,"1,519.43"
2013-02-12,Obama: â€œIt is our generationâ€™s task ... to reignite the true engine of Americaâ€™s economic growthâ€”a rising thriving middle class.â€ #SOTU,"1,519.43"
2013-02-12,President Obama: â€œAfter years of grueling recession our businesses have created over six million new jobs.â€ #JobsNow,"1,519.43"
2013-02-12,â€œAfter a decade of grinding war our brave men and women in uniform are coming home.â€ â€”President Obama #SOTU,"1,519.43"
2013-02-12,President Obama: â€œTonight thanks to the grit and determination of the American people there is much progress to report.â€ #SOTU,"1,519.43"
2013-02-12,Mr. Speaker the President of the United States:pic.twitter.com/Um33xOeD,"1,519.43"
2013-02-12,In 15 minutes President Obama will deliver the 2013 State of the Union. Watch it live here: http://wh.gov/sotuÂ  #SOTU,"1,519.43"
2013-02-12,He shall from time to time...pic.twitter.com/xbl0VRBg,"1,519.43"
2013-02-12,Here's the best place to watch President Obama's #SOTU address tonight at 9pm ET: http://OFA.BO/WxnRimÂ ,"1,519.43"
2013-02-12,Our journey moves forward and our future remains hopeful and the state of our union will always be strong. http://OFA.BO/jHZAWUÂ  #SOTU,"1,519.43"
2013-02-12,Watch Obama's #SOTU address with enhanced graphics charts and useful stats on his plan to keep us moving forward: http://OFA.BO/eJ9Z7kÂ ,"1,519.43"
2013-02-12,President Obama's getting ready: RT if you're excited to hear his #SOTU speech tonight.pic.twitter.com/CF6dRHg9,"1,519.43"
2013-02-11,Don't let Congress off the hook: Use #ImmigrationStory to share how your family came hereâ€”and why we need immigration reform now.,"1,517.01"
2013-02-11,They are the true Americans who not only know what this country could mean for themâ€”but also their children. â€”Jose C. http://OFA.BO/9XtxAvÂ ,"1,517.01"
2013-02-11,All we required was the opportunity to succeed. #ImmigrationStory: http://OFA.BO/NuLfmgÂ pic.twitter.com/1HOuPuWm,"1,517.01"
2013-02-11,â€œWe are a nation founded by immigrants and in this lies our strength.â€ â€”Gila S. http://OFA.BO/UcAsvjÂ  #ImmigrationStory,"1,517.01"
2013-02-11,When I was 15 I yearned to get my permit to drive. I wanted to work to become more responsibleâ€”I couldn't.â€”Saridh G. http://OFA.BO/twcuq5Â ,"1,517.01"
2013-02-11,â€œImmigration reminds us all of our individual roots but amplifies the greatness of who we are as Americans.â€ â€”Randall S. #ImmigrationStory,"1,517.01"
2013-02-11,We can fix our broken immigration system but only if you make your voice heard. Share your family's #ImmigrationStory: http://OFA.BO/GmDMFzÂ ,"1,517.01"
2013-02-11,An AK-47 a machine gun is not a sporting weapon or needed for the defense of the home. â€”Former President Reaganpic.twitter.com/cr3uTD7a,"1,517.01"
2013-02-10,You're invited to a State of the Union watch party with supporters near you. RSVP now: http://OFA.BO/wHe84bÂ pic.twitter.com/rua9bd8b,
2013-02-09,Letâ€™s give our workers and our businesses the support they need to grow and thrive.http://OFA.BO/th5H4bÂ ,
